Player,Style,Forehand_Power_Index,Backhand_Power_Index,Forehand_Dominance,Backhand_Dominance,Backhand_Versatility,FH_BH_Power_Diff,FH_BH_Dom_Diff,Avg_Rally_Length,Rally_Length_Efficiency,Serve_Return_Rally_Balance,Short_Rally_Control,Long_Rally_Endurance,Rally_Progression_Score,Forehand_Dominance,Backhand_Versatility,Forehand_Power_Index,Backhand_Power_Index,Power_Balance_Index,Rally_Adaptability,Match_Control_Metric,Tactical_Intelligence,Court_Coverage_Efficiency
Amanda Anisimova,Power Hitter,0.92,0.86,0.51,0.49,0.93,0.06,0.01,3.38,0.51,0.95,0.47,0.5,0.5,0.51,0.93,0.92,0.86,0.55,0.64,0.48,0.69,0.57
Aryna Sabalenka,Aggressive Baseliner,0.82,0.79,0.5,0.5,0.89,0.03,-0.01,3.23,0.53,0.93,0.52,0.57,0.54,0.5,0.89,0.82,0.79,0.62,0.6,0.57,0.65,0.59
Clara Tauson,All-Court Player,1.21,0.92,0.5,0.5,0.82,0.29,0.0,3.96,0.46,0.94,0.52,0.52,0.51,0.5,0.82,1.21,0.92,0.5,0.68,0.55,0.67,0.52
Coco Gauff,Defender,1.19,0.94,0.55,0.45,0.91,0.25,0.09,4.1,0.44,0.93,0.51,0.52,0.52,0.55,0.91,1.19,0.94,0.58,0.68,0.54,0.71,0.51
Ekaterina Alexandrova,Power Hitter,0.96,1.03,0.48,0.52,0.95,-0.07,-0.04,3.45,0.5,0.94,0.5,0.54,0.51,0.48,0.95,0.96,1.03,0.61,0.65,0.53,0.69,0.56
Elena Rybakina,All-Court Player,1.12,0.94,0.53,0.47,0.92,0.19,0.06,3.53,0.5,0.93,0.52,0.52,0.51,0.53,0.92,1.12,0.94,0.54,0.66,0.53,0.7,0.56
Elina Svitolina,Defender,1.2,1.1,0.52,0.48,0.91,0.1,0.03,4.42,0.42,0.93,0.5,0.5,0.5,0.52,0.91,1.2,1.1,0.56,0.71,0.52,0.72,0.48
Emma Navarro,Defender,1.34,1.04,0.53,0.47,0.83,0.3,0.06,4.85,0.39,0.94,0.48,0.45,0.48,0.53,0.83,1.34,1.04,0.55,0.74,0.46,0.7,0.46
Iga Swiatek,Aggressive Baseliner,0.92,0.85,0.52,0.48,0.92,0.07,0.03,3.75,0.48,0.94,0.54,0.6,0.57,0.52,0.92,0.92,0.85,0.64,0.64,0.62,0.69,0.54
Jasmine Paolini,Defender,1.28,1.03,0.54,0.46,0.93,0.25,0.08,4.26,0.43,0.94,0.49,0.49,0.49,0.54,0.93,1.28,1.03,0.56,0.65,0.48,0.7,0.5
Jessica Pegula,Power Hitter,1.07,0.91,0.5,0.5,0.84,0.16,0.01,3.83,0.47,0.95,0.5,0.52,0.5,0.5,0.84,1.07,0.91,0.67,0.67,0.52,0.67,0.53
Karolina Muchova,All-Court Player,1.09,0.83,0.5,0.5,0.7,0.26,0.0,4.08,0.45,0.95,0.5,0.5,0.5,0.5,0.7,1.09,0.83,0.51,0.74,0.51,0.66,0.51
Madison Keys,Power Hitter,0.94,0.85,0.52,0.48,0.9,0.09,0.03,3.46,0.5,0.94,0.51,0.56,0.52,0.52,0.9,0.94,0.85,0.57,0.65,0.56,0.68,0.56
Mirra Andreeva,Counter Puncher,1.24,1.62,0.46,0.54,0.92,-0.39,-0.08,4.91,0.38,0.95,0.53,0.52,0.51,0.46,0.92,1.24,1.62,0.57,0.74,0.53,0.71,0.45
Paula Badosa,Defender,1.11,1.02,0.5,0.5,0.92,0.09,0.0,4.04,0.45,0.93,0.51,0.4,0.47,0.5,0.92,1.11,1.02,0.61,0.66,0.45,0.69,0.51
Qinwen Zheng,All-Court Player,1.05,0.88,0.54,0.46,0.92,0.17,0.07,3.72,0.48,0.94,0.51,0.52,0.51,0.54,0.92,1.05,0.88,0.45,0.71,0.54,0.72,0.54
Tatjana Maria,Baseline Grinder,0.65,0.18,0.46,0.54,0.21,0.47,-0.07,4.61,0.4,0.91,0.55,0.4,0.48,0.46,0.21,0.65,0.18,0.45,0.67,0.47,0.47,0.47
