Year,Avg_Rally_Length,Power_Balance_Index,Rally_Adaptability,Tactical_Intelligence,Court_Coverage_Efficiency,Match_Control_Metric
2013,3.6,0.476,0.688,0.689,0.55,0.377
2014,3.724,0.514,0.734,0.72,0.541,0.526
2015,4.027,0.512,0.63,0.628,0.518,0.512
2016,3.891,0.622,0.685,0.7,0.529,0.502
2017,3.831,0.597,0.628,0.659,0.536,0.526
2018,3.688,0.534,0.665,0.663,0.544,0.532
2019,3.934,0.573,0.682,0.673,0.525,0.503
2020,3.982,0.626,0.672,0.693,0.52,0.499
2021,4.011,0.555,0.686,0.681,0.521,0.528
2022,4.02,0.553,0.677,0.678,0.518,0.516
2023,3.986,0.546,0.682,0.682,0.519,0.529
2024,3.844,0.578,0.675,0.677,0.533,0.541
2025,3.853,0.575,0.645,0.66,0.531,0.539
